[1, 12000] loss: 2.0949 iteration     1
[2, 12000] loss: 2.0051 iteration     2
[3, 12000] loss: 1.9774 iteration     3
[4, 12000] loss: 1.9574 iteration     4
[5, 12000] loss: 1.9452 iteration     5
[6, 12000] loss: 1.9307 iteration     6
[7, 12000] loss: 1.9226 iteration     7
[8, 12000] loss: 1.9106 iteration     8
[9, 12000] loss: 1.9042 iteration     9
[10, 12000] loss: 1.8994 iteration    10
[11, 12000] loss: 1.8940 iteration    11
[12, 12000] loss: 1.8884 iteration    12
[13, 12000] loss: 1.8844 iteration    13
[14, 12000] loss: 1.8787 iteration    14
[15, 12000] loss: 1.8748 iteration    15
[16, 12000] loss: 1.8710 iteration    16
[17, 12000] loss: 1.8689 iteration    17
[18, 12000] loss: 1.8670 iteration    18
[19, 12000] loss: 1.8600 iteration    19
[20, 12000] loss: 1.8576 iteration    20
[21, 12000] loss: 1.8577 iteration    21
[22, 12000] loss: 1.8566 iteration    22
[23, 12000] loss: 1.8542 iteration    23
[24, 12000] loss: 1.8534 iteration    24
[25, 12000] loss: 1.8485 iteration    25
[26, 12000] loss: 1.8500 iteration    26
[27, 12000] loss: 1.8460 iteration    27
[28, 12000] loss: 1.8457 iteration    28
[29, 12000] loss: 1.8433 iteration    29
[30, 12000] loss: 1.8448 iteration    30
[31, 12000] loss: 1.8406 iteration    31
[32, 12000] loss: 1.8397 iteration    32
[33, 12000] loss: 1.8394 iteration    33
[34, 12000] loss: 1.8391 iteration    34
[35, 12000] loss: 1.8366 iteration    35
[36, 12000] loss: 1.8375 iteration    36
[37, 12000] loss: 1.8345 iteration    37
[38, 12000] loss: 1.8347 iteration    38
[39, 12000] loss: 1.8341 iteration    39
[40, 12000] loss: 1.8313 iteration    40
[41, 12000] loss: 1.8344 iteration    41
[42, 12000] loss: 1.8303 iteration    42
[43, 12000] loss: 1.8321 iteration    43
[44, 12000] loss: 1.8328 iteration    44
[45, 12000] loss: 1.8318 iteration    45
[46, 12000] loss: 1.8316 iteration    46
[47, 12000] loss: 1.8301 iteration    47
[48, 12000] loss: 1.8290 iteration    48
[49, 12000] loss: 1.8301 iteration    49
[50, 12000] loss: 1.8305 iteration    50
[51, 12000] loss: 1.8287 iteration    51
[52, 12000] loss: 1.8281 iteration    52
[53, 12000] loss: 1.8282 iteration    53
[54, 12000] loss: 1.8279 iteration    54
[55, 12000] loss: 1.8288 iteration    55
[56, 12000] loss: 1.8234 iteration    56
[57, 12000] loss: 1.8277 iteration    57
[58, 12000] loss: 1.8263 iteration    58
[59, 12000] loss: 1.8238 iteration    59
[60, 12000] loss: 1.8228 iteration    60
[61, 12000] loss: 1.8257 iteration    61
[62, 12000] loss: 1.8272 iteration    62
[63, 12000] loss: 1.8267 iteration    63
[64, 12000] loss: 1.8269 iteration    64
[65, 12000] loss: 1.8266 iteration    65
[66, 12000] loss: 1.8306 iteration    66
[67, 12000] loss: 1.8276 iteration    67
[68, 12000] loss: 1.8282 iteration    68
[69, 12000] loss: 1.8284 iteration    69
[70, 12000] loss: 1.8298 iteration    70
[71, 12000] loss: 1.8319 iteration    71
[72, 12000] loss: 1.8320 iteration    72
[73, 12000] loss: 1.8336 iteration    73
[74, 12000] loss: 1.8352 iteration    74
[75, 12000] loss: 1.8367 iteration    75
[76, 12000] loss: 1.8409 iteration    76
[77, 12000] loss: 1.8444 iteration    77
[78, 12000] loss: 1.8593 iteration    78
[79, 12000] loss: 1.8765 iteration    79
[80, 12000] loss: 2.1168 iteration    80
[81, 12000] loss: 2.2970 iteration    81
[82, 12000] loss: 2.2987 iteration    82
[83, 12000] loss: 2.2975 iteration    83
[84, 12000] loss: 2.2995 iteration    84
[85, 12000] loss: 2.2969 iteration    85
[86, 12000] loss: 2.2987 iteration    86
[87, 12000] loss: 2.2979 iteration    87
[88, 12000] loss: 2.2983 iteration    88
[89, 12000] loss: 2.2979 iteration    89
[90, 12000] loss: 2.2978 iteration    90
[91, 12000] loss: 2.2997 iteration    91
[92, 12000] loss: 2.2965 iteration    92
[93, 12000] loss: 2.2969 iteration    93
[94, 12000] loss: 2.2978 iteration    94
[95, 12000] loss: 2.2976 iteration    95
[96, 12000] loss: 2.2978 iteration    96
[97, 12000] loss: 2.2987 iteration    97
[98, 12000] loss: 2.2996 iteration    98
[99, 12000] loss: 2.2989 iteration    99
[100, 12000] loss: 2.2981 iteration   100
# Finished Training
# Accuracy of the network on the 10000 test images: 10 %
# Accuracy of plane :  0 %
# Accuracy of   car :  0 %
# Accuracy of  bird :  2 %
# Accuracy of   cat :  0 %
# Accuracy of  deer :  0 %
# Accuracy of   dog : 20 %
# Accuracy of  frog :  0 %
# Accuracy of horse : 19 %
# Accuracy of  ship :  1 %
# Accuracy of truck : 62 %
